"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","DAPR","MDPR","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WDF2","WDF5","WDMV","WSF2","WSF5"
"US1MDMG0109","39.039861","-77.004083","103.3","2019-01-01",,,,,"0.59",,,,,,,,,,,
"US1MDMG0109","39.039861","-77.004083","103.3","2019-01-02",,,,,"0.00","0.0",,,,,,,,,,
"US1MDMG0109","39.039861","-77.004083","103.3","2019-01-03",,,,,"0.00","0.0",,,,,,,,,,
"US1MDMG0109","39.039861","-77.004083","103.3","2019-01-04",,,,,"0.00","0.0",,,,,,,,,,
"US1MDMG0109","39.039861","-77.004083","103.3","2019-01-05",,,,,"0.09",,,,,,,,,,,
"US1MDMG0109","39.039861","-77.004083","103.3","2019-01-06",,,,,"0.02",,,,,,,,,,,
"US1MDMG0109","39.039861","-77.004083","103.3","2019-01-07",,,,,"0.00","0.0",,,,,,,,,,
"US1MDMG0109","39.039861","-77.004083","103.3","2019-01-08",,,,,"0.07",,,,,,,,,,,
"US1MDMG0109","39.039861","-77.004083","103.3","2019-01-09",,,,,"0.09",,,,,,,,,,,
"US1MDMG0109","39.039861","-77.004083","103.3","2019-01-10",,,,,"0.01",,,,,,,,,,,
"US1MDMG0109","39.039861","-77.004083","103.3","2019-01-11",,,,,"0.00","0.0",,,,,,,,,,
"US1MDMG0109","39.039861","-77.004083","103.3","2019-01-12",,,,,"0.00","0.0",,,,,,,,,,
"US1MDMG0109","39.039861","-77.004083","103.3","2019-01-13",,,,,"0.53","6.1",,,,,,,,,,
"US1MDMG0109","39.039861","-77.004083","103.3","2019-01-14",,,,,"0.54","6.6",,,,,,,,,,
"US1MDMG0109","39.039861","-77.004083","103.3","2019-01-15",,,,,"0.00","0.0",,,,,,,,,,
"US1MDMG0109","39.039861","-77.004083","103.3","2019-01-16",,,,,"0.00","0.0",,,,,,,,,,
"US1MDMG0109","39.039861","-77.004083","103.3","2019-01-17",,,,,"0.00","0.0",,,,,,,,,,
"US1MDMG0109","39.039861","-77.004083","103.3","2019-01-18",,,,,"0.17","2.1",,,,,,,,,,
"US1MDMG0109","39.039861","-77.004083","103.3","2019-01-19",,,,,"0.00","0.0",,,,,,,,,,
"US1MDMG0109","39.039861","-77.004083","103.3","2019-01-20",,,,,"0.99",,,,,,,,,,,
"US1MDMG0109","39.039861","-77.004083","103.3","2019-01-21",,,,,"0.00","0.0",,,,,,,,,,
"US1MDMG0109","39.039861","-77.004083","103.3","2019-01-22",,,,,"0.00","0.0",,,,,,,,,,
"US1MDMG0109","39.039861","-77.004083","103.3","2019-01-23",,,,,"0.00","0.0",,,,,,,,,,
"US1MDMG0109","39.039861","-77.004083","103.3","2019-01-24",,,,,"0.36",,,,,,,,,,,
"US1MDMG0109","39.039861","-77.004083","103.3","2019-01-25",,,,,"0.77",,,,,,,,,,,
"US1MDMG0109","39.039861","-77.004083","103.3","2019-01-26",,,,,"0.00","0.0",,,,,,,,,,
"US1MDMG0109","39.039861","-77.004083","103.3","2019-01-27",,,,,"0.00","0.0",,,,,,,,,,
"US1MDMG0109","39.039861","-77.004083","103.3","2019-01-28",,,,,"0.00","0.0",,,,,,,,,,
"US1MDMG0109","39.039861","-77.004083","103.3","2019-01-29",,,,,"0.00",,,,,,,,,,,
"US1MDMG0109","39.039861","-77.004083","103.3","2019-01-30",,,,,"0.21",,,,,,,,,,,
"US1MDMG0109","39.039861","-77.004083","103.3","2019-01-31",,,,,"0.00",,,,,,,,,,,
"US1MDMG0109","39.039861","-77.004083","103.3","2019-02-01",,,,,"0.00",,,,,,,,,,,
"US1MDMG0109","39.039861","-77.004083","103.3","2019-02-02",,,,,"0.09",,,,,,,,,,,
"US1MDMG0109","39.039861","-77.004083","103.3","2019-02-03",,,,,"0.00","0.0",,,,,,,,,,
"US1MDMG0109","39.039861","-77.004083","103.3","2019-02-04",,,,,"0.00","0.0",,,,,,,,,,
"US1MDMG0109","39.039861","-77.004083","103.3","2019-02-05",,,,,"0.00","0.0",,,,,,,,,,
"US1MDMG0109","39.039861","-77.004083","103.3","2019-02-06",,,,,"0.00","0.0",,,,,,,,,,
"US1MDMG0109","39.039861","-77.004083","103.3","2019-02-07",,,,,"0.05",,,,,,,,,,,
"US1MDMG0109","39.039861","-77.004083","103.3","2019-02-08",,,,,"0.01",,,,,,,,,,,
"US1MDMG0109","39.039861","-77.004083","103.3","2019-02-09",,,,,"0.00","0.0",,,,,,,,,,
"US1MDMG0109","39.039861","-77.004083","103.3","2019-02-10",,,,,"0.00","0.0",,,,,,,,,,
"US1MDMG0109","39.039861","-77.004083","103.3","2019-02-11",,,,,"0.37",,,,,,,,,,,
"US1MDMG0109","39.039861","-77.004083","103.3","2019-02-12",,,,,"0.45",,,,,,,,,,,
"US1MDMG0109","39.039861","-77.004083","103.3","2019-02-13",,,,,"0.55",,,,,,,,,,,
"US1MDMG0109","39.039861","-77.004083","103.3","2019-02-14",,,,,"0.00","0.0",,,,,,,,,,
"US1MDMG0109","39.039861","-77.004083","103.3","2019-02-15",,,,,"0.00","0.0",,,,,,,,,,
"US1MDMG0109","39.039861","-77.004083","103.3","2019-02-16",,,,,"0.00","0.0",,,,,,,,,,
"US1MDMG0109","39.039861","-77.004083","103.3","2019-02-17",,,,,"0.00","0.0",,,,,,,,,,
"US1MDMG0109","39.039861","-77.004083","103.3","2019-02-18",,,,,"0.56",,,,,,,,,,,
"US1MDMG0109","39.039861","-77.004083","103.3","2019-02-19",,,,,"0.00","0.0",,,,,,,,,,
"US1MDMG0109","39.039861","-77.004083","103.3","2019-02-20",,,,,"0.11",,,,,,,,,,,
"US1MDMG0109","39.039861","-77.004083","103.3","2019-02-21",,,,,"0.58",,,,,,,,,,,
"US1MDMG0109","39.039861","-77.004083","103.3","2019-02-22",,,,,"0.02",,,,,,,,,,,
"US1MDMG0109","39.039861","-77.004083","103.3","2019-02-23",,,,,"0.00","0.0",,,,,,,,,,
"US1MDMG0109","39.039861","-77.004083","103.3","2019-02-24",,,,,"0.61",,,,,,,,,,,
"US1MDMG0109","39.039861","-77.004083","103.3","2019-02-25",,,,,"0.02",,,,,,,,,,,
"US1MDMG0109","39.039861","-77.004083","103.3","2019-02-26",,,,,"0.00","0.0",,,,,,,,,,
"US1MDMG0109","39.039861","-77.004083","103.3","2019-02-27",,,,,"0.00","0.0",,,,,,,,,,
"US1MDMG0109","39.039861","-77.004083","103.3","2019-02-28",,,,,"0.00","0.0",,,,,,,,,,
"US1MDMG0109","39.039861","-77.004083","103.3","2019-03-01",,,,,"0.20",,,,,,,,,,,
"US1MDMG0109","39.039861","-77.004083","103.3","2019-03-02",,,,,"0.68",,,,,,,,,,,
